Squad,Season,GF,GA,Pts,xG,xGA,Age,Poss,Sh,SoT,Dist,SoTA,CS,Expenditure,Arrivals,Income,Depatures,Balance
Manchester City,2017-2018,2.789473684210526,0.7105263157894737,100,2.068421052631579,0.6263157894736843,26.4,71,17.263157894736842,6.684210526315789,17.8,2.236842105263158,18,317.5,31,91.35,32,-226.15
Manchester Utd,2017-2018,1.7894736842105263,0.7368421052631579,81,1.4657894736842105,1.0710526315789475,26.7,54.7,13.394736842105264,4.473684210526316,18.4,3.763157894736842,19,198.4,12,45.5,10,-152.9
Tottenham,2017-2018,1.9473684210526316,0.9473684210526315,77,1.7026315789473685,0.8921052631578947,25.8,61.8,16.31578947368421,5.5,18.4,3.263157894736842,16,121,15,103.8,12,-17.2
Liverpool,2017-2018,2.210526315789474,1,75,1.918421052631579,0.8894736842105262,25.6,60.3,16.710526315789473,5.947368421052632,17.7,2.736842105263158,17,173.65,13,184.5,15,10.85
Chelsea,2017-2018,1.631578947368421,1,70,1.431578947368421,0.8894736842105262,26.7,55.6,15.868421052631579,5.526315789473684,17.9,3.0789473684210527,16,260.5,40,194.6,31,-65.9
Arsenal,2017-2018,1.9473684210526316,1.3421052631578947,63,1.7973684210526315,1.2578947368421052,26.8,61.4,15.5,5.868421052631579,17.9,3.8684210526315788,13,152.85,10,162.4,16,9.55
Burnley,2017-2018,0.9473684210526315,1.0263157894736843,54,0.85,1.3473684210526315,27.5,43.7,9.947368421052632,3.3157894736842106,17,4.2105263157894735,12,35.74,20,50,22,14.26
Everton,2017-2018,1.1578947368421053,1.5263157894736843,49,1.0657894736842106,1.3789473684210527,26.7,45.5,9.236842105263158,2.8947368421052633,17.6,4.684210526315789,10,203.2,23,126.38,20,-76.82
Leicester City,2017-2018,1.4736842105263157,1.5789473684210527,47,1.3157894736842106,1.2657894736842106,27.2,48,10.973684210526315,3.6052631578947367,17.6,4.315789473684211,9,83.85,14,50.1,13,-33.75
Newcastle Utd,2017-2018,1.0263157894736843,1.236842105263158,44,1.0947368421052632,1.3789473684210527,25.6,41.7,11.842105263157896,3.8421052631578947,19.2,3.8947368421052633,9,46.5,27,21.22,29,-25.28
Crystal Palace,2017-2018,1.1842105263157894,1.4473684210526316,44,1.4078947368421053,1.2684210526315791,27.1,45.2,12.263157894736842,3.526315789473684,17.8,4.473684210526316,9,55.95,15,3,18,-52.95
Bournemouth,2017-2018,1.1842105263157894,1.605263157894737,44,1.0210526315789472,1.5578947368421054,26.9,48.1,12.157894736842104,4.026315789473684,18.3,4.473684210526316,6,34.3,15,0,14,-34.3
West Ham,2017-2018,1.263157894736842,1.7894736842105263,42,0.9657894736842106,1.45,28,45.2,9.68421052631579,3.3421052631578947,18.2,4.921052631578948,10,56.8,15,64.02,25,7.22
Watford,2017-2018,1.1578947368421053,1.6842105263157894,41,1.1842105263157894,1.3631578947368421,27.9,49.7,11.421052631578947,3.3157894736842106,17.9,4.105263157894737,9,73.4,32,18.74,30,-54.66
Brighton,2017-2018,0.8947368421052632,1.4210526315789473,40,0.9736842105263158,1.3368421052631578,27.5,43.7,9.921052631578947,2.8947368421052633,18.3,4.526315789473684,10,70,23,0,22,-69.6
Huddersfield,2017-2018,0.7368421052631579,1.5263157894736843,37,0.8236842105263158,1.2763157894736843,26.4,45.7,9.473684210526315,2.789473684210526,18.8,4.157894736842105,10,56.75,22,6.46,16,-50.3
Southampton,2017-2018,0.9736842105263158,1.4736842105263157,36,1.05,1.1894736842105265,26.2,51.3,11.763157894736842,3.5789473684210527,18.1,4.342105263157895,8,61.25,12,98.35,14,37.1
Swansea City,2017-2018,0.7368421052631579,1.4736842105263157,33,0.8315789473684211,1.5421052631578949,27.2,45.3,8.894736842105264,2.5,18.2,5,9,73.39,21,81.1,24,7.72
Stoke City,2017-2018,0.9210526315789473,1.7894736842105263,33,0.9605263157894737,1.644736842105263,27.5,41.4,10,3.210526315789474,18.1,5.684210526315789,6,57.7,18,35.14,17,-22.56
West Brom,2017-2018,0.8157894736842105,1.4736842105263157,31,0.9605263157894737,1.2605263157894737,29.1,40.7,9.921052631578947,2.9210526315789473,17.7,4.052631578947368,10,53.5,17,2.05,11,-51.45
Manchester City,2018-2019,2.5,0.6052631578947368,98,2.218421052631579,0.65,26.7,67.9,17.86842105263158,6.631578947368421,16.9,2.1315789473684212,20,78.59,19,57.6,22,-20.99
Liverpool,2018-2019,2.3421052631578947,0.5789473684210527,97,1.9394736842105265,0.7578947368421053,26.1,61.8,14.947368421052632,5.552631578947368,17,2.526315789473684,21,182.2,18,41.32,21,-140.88
Chelsea,2018-2019,1.6578947368421053,1.0263157894736843,72,1.5421052631578949,0.9578947368421052,27.3,62.9,15.842105263157896,5.052631578947368,17.8,3.263157894736842,16,208.8,30,83.25,31,-125.55
Tottenham,2018-2019,1.763157894736842,1.0263157894736843,71,1.444736842105263,1.2394736842105263,26.8,59,14.026315789473685,4.7894736842105265,18.1,4.105263157894737,13,0,4,5.35,4,5.35
Arsenal,2018-2019,1.9210526315789473,1.3421052631578947,70,1.5815789473684212,1.4263157894736842,26.7,58.1,12.157894736842104,4.184210526315789,16.7,4.7894736842105265,8,80.15,17,9.1,12,-71.05
Manchester Utd,2018-2019,1.7105263157894737,1.4210526315789473,66,1.6157894736842104,1.3315789473684212,26.3,54.7,13.526315789473685,5.526315789473684,18.7,4.5,7,82.7,10,30.55,10,-52.15
Wolves,2018-2019,1.236842105263158,1.2105263157894737,57,1.3710526315789473,1.1078947368421053,26.1,46.8,12.447368421052632,3.789473684210526,17.7,3.710526315789474,9,117.5,35,23.3,46,-94.2
Everton,2018-2019,1.4210526315789473,1.2105263157894737,54,1.3078947368421054,1.2026315789473685,25.7,51.5,12.973684210526315,4.2894736842105265,16.9,3.5789473684210527,14,99.8,19,28.65,23,-71.15
Leicester City,2018-2019,1.3421052631578947,1.263157894736842,52,1.3789473684210527,1.1500000000000001,25.9,50.9,13.368421052631579,4.552631578947368,18.6,3.6315789473684212,10,114.6,16,95.8,18,-18.8
