Squad,hex_fill,hex_color
Manchester City,#6CABDD,#1C2C5B
Manchester Utd,#DA291C,#FBE122
Tottenham,#132257,#FFFFFF
Liverpool,#C8102E,#00A398
Chelsea,#034694,#FFFFFF
Arsenal,#EF0107,#9C824A
Burnley,#6C1D45,#99D6EA
Everton,#003399,#FFFFFF
Leicester City,#0053A0,#FDBE11
Newcastle Utd,#241F20,#FFFFFF
Crystal Palace,#1B458F,#C4122E
Bournemouth,#DA291C,#000000
West Ham,#7A263A,#1BB1E7
Watford,#FBEE23,#ED2127
Brighton,#0057B8,#FFFFFF
Huddersfield,#0E63AD,#FFFFFF
Southampton,#D71920,#130C0E
Swansea City,#121212,#FFFFFF
Stoke City,#E03A3E,#FFFFFF
West Brom,#122F67,#FFFFFF
Wolves,#FDB913,#231F20
Cardiff City,#0070B5,#FFFFFF
Fulham,#FFFFFF,#CC0000
Sheffield Utd,#EE2737,#000000
Aston Villa,#95BFE5,#670E36
Norwich City,#FFF200,#00A651
Leeds United,#FFCD00,#1D428A
Brentford,#E30613,#FFFFFF
Nott'ham Forest,#DD0000,#FFFFFF
Luton Town,#FF8200,#132257
